"May 10, 2018",C
"May 11, 2018",D
"May 12, 2018",X
"May 13, 2018",X
"May 14, 2018",A
"May 15, 2018",B
"May 16, 2018",C
"May 17, 2018",D
"May 18, 2018",A
"May 19, 2018",X
"May 20, 2018",X
"May 21, 2018",B
"May 22, 2018",C
"May 23, 2018",D
"May 24, 2018",A
"May 25, 2018",B
"May 26, 2018",X
"May 27, 2018",X
"May 28, 2018",X
"May 29, 2018",C
"May 30, 2018",D
"May 31, 2018",A
"June 1, 2018",B
"June 2, 2018",C
"June 3, 2018",D
"June 4, 2018",A
"June 5, 2018",B
"June 6, 2018",C
"June 7, 2018",B
"June 8, 2018",C
"June 9, 2018",X
"June 10, 2018",X
"June 11, 2018",FINAL
"June 12, 2018",FINAL
"June 13, 2018",FINAL
"June 14, 2018",FINAL
"June 15, 2018",FINAL
"June 16, 2018",GRADUATION
