8/31/2017,A
9/1/2017,B
9/2/2017,X
9/3/2017,X
9/4/2017,X
9/5/2017,C
9/6/2017,D
9/7/2017,A
9/8/2017,B
9/9/2017,X
9/10/2017,X
9/11/2017,C
9/12/2017,D
9/13/2017,A
9/14/2017,B
9/15/2017,C
9/16/2017,X
9/17/2017,X
9/18/2017,D
9/19/2017,A
9/20/2017,B
9/21/2017,X
9/22/2017,C
9/23/2017,X
9/24/2017,X
9/25/2017,D
9/26/2017,A
9/27/2017,B
9/28/2017,C
9/29/2017,D
9/30/2017,X
10/1/2017,X
10/2/2017,A
10/3/2017,B
10/4/2017,C
10/5/2017,D
10/6/2017,A
10/7/2017,X
10/8/2017,X
10/9/2017,B
10/10/2017,C
10/11/2017,D
10/12/2017,A
10/13/2017,X
10/14/2017,X
10/15/2017,X
10/16/2017,B
10/17/2017,C
10/18/2017,D
10/19/2017,A
10/20/2017,B
10/21/2017,X
10/22/2017,X
10/23/2017,C
10/24/2017,D
10/25/2017,A
10/26/2017,B
10/27/2017,C
10/28/2017,X
10/29/2017,X
10/30/2017,D
10/31/2017,A
11/1/2017,B
11/2/2017,C
11/3/2017,D
11/4/2017,X
11/5/2017,X
11/6/2017,A
11/7/2017,X
11/8/2017,B
11/9/2017,C
11/10/2017,D
11/11/2017,X
11/12/2017,X
11/13/2017,A
11/14/2017,B
11/15/2017,C
11/16/2017,D
11/17/2017,A
11/18/2017,X
11/19/2017,X
11/20/2017,B
11/21/2017,C
11/22/2017,D*
11/23/2017,X
11/24/2017,X
11/25/2017,X
11/26/2017,X
11/27/2017,A
11/28/2017,B
11/29/2017,C
11/30/2017,D
12/1/2017,A
12/2/2017,X
12/3/2017,X
12/4/2017,B
12/5/2017,C
12/6/2017,D
12/7/2017,A
12/8/2017,B
12/9/2017,X
12/10/2017,X
12/11/2017,C
12/12/2017,D
12/13/2017,A
12/14/2017,B
12/15/2017,C
12/16/2017,X
12/17/2017,X
12/18/2017,D
12/19/2017,A
12/20/2017,B
12/21/2017,C
12/22/2017,D
12/23/2017,X
12/24/2017,X
12/25/2017,X
12/26/2017,X
12/27/2017,X
12/28/2017,X
12/29/2017,X
12/30/2017,X
12/31/2017,X
1/1/2018,X
1/2/2018,A
1/3/2018,B
1/4/2018,C
1/5/2018,D
1/6/2018,X
1/7/2018,X
1/8/2018,A
1/9/2018,B
1/10/2018,C
1/11/2018,D
1/12/2018,A
1/13/2018,X
1/14/2018,X
1/15/2018,X
1/16/2018,B
1/17/2018,C
1/18/2018,MIDTERM
1/19/2018,MIDTERM
1/20/2018,X
1/21/2018,X
1/22/2018,MIDTERM
1/23/2018,MIDTERM
1/24/2018,MIDTERM
1/25/2018,D
1/26/2018,A
1/27/2018,X
1/28/2018,X
1/29/2018,B
1/30/2018,C
1/31/2018,D
2/1/2018,A
2/2/2018,B
2/3/2018,X
2/4/2018,X
2/5/2018,C
2/6/2018,D
2/7/2018,A
2/8/2018,B
2/9/2018,C
2/10/2018,X
2/11/2018,X
2/12/2018,D
2/13/2018,A
2/14/2018,B
2/15/2018,C
2/16/2018,X
2/17/2018,X
2/18/2018,X
2/19/2018,X
2/20/2018,X
2/21/2018,X
2/22/2018,X
2/23/2018,X
2/24/2018,X
2/25/2018,X
2/26/2018,D
2/27/2018,A
2/28/2018,B
3/1/2018,C
3/2/2018,D
3/3/2018,X
3/4/2018,X
3/5/2018,A
3/6/2018,B
3/7/2018,C
3/8/2018,D
3/9/2018,A
3/10/2018,X
3/11/2018,X
3/12/2018,B
3/13/2018,C
3/14/2018,D
3/15/2018,A
3/16/2018,B
3/17/2018,X
3/18/2018,X
3/19/2018,C
3/20/2018,D
3/21/2018,A
3/22/2018,B
3/23/2018,C
3/24/2018,X
3/25/2018,X
3/26/2018,D
3/27/2018,A
3/28/2018,B
3/29/2018,C
3/30/2018,X
3/31/2018,X
4/1/2018,X
4/2/2018,D
4/3/2018,A
4/4/2018,B
4/5/2018,C
4/6/2018,D
4/7/2018,X
4/8/2018,X
4/9/2018,X
4/10/2018,X
4/11/2018,X
4/12/2018,X
4/13/2018,X
4/14/2018,X
4/15/2018,X
4/16/2018,A
4/17/2018,B
4/18/2018,C
4/19/2018,D
4/20/2018,A
4/21/2018,X
4/22/2018,X
4/23/2018,B
4/24/2018,C
4/25/2018,D
4/26/2018,A
4/27/2018,B
4/28/2018,X
4/29/2018,X
4/30/2018,C
5/1/2018,D
5/2/2018,A
5/3/2018,B
5/4/2018,C
5/5/2018,X
5/6/2018,X
5/7/2018,D
5/8/2018,A
5/9/2018,B
5/10/2018,C
5/11/2018,D
5/12/2018,X
5/13/2018,X
5/14/2018,A
5/15/2018,B
5/16/2018,C
5/17/2018,D
5/18/2018,A
5/19/2018,X
5/20/2018,X
5/21/2018,B
5/22/2018,C
5/23/2018,D
5/24/2018,A
5/25/2018,B
5/26/2018,X
5/27/2018,X
5/28/2018,X
5/29/2018,C
5/30/2018,D
5/31/2018,A
6/1/2018,B
6/2/2018,C
6/3/2018,D
6/4/2018,A
6/5/2018,B
6/6/2018,C
6/7/2018,B
6/8/2018,C
6/9/2018,X
6/10/2018,X
6/11/2018,FINAL
6/12/2018,FINAL
6/13/2018,FINAL
6/14/2018,FINAL
6/15/2018,FINAL
6/16/2018,GRADUATION
